"athlete_display_name","team_abbreviation","opponent","Proj_PTS","L5_PTS","Proj_REB","L5_REB","Proj_AST","L5_AST"
"Joel Embiid","PHI","NY",25.9,23.6,10.7,7.2,7,5.6
"Jalen Brunson","NY","PHI",24.2,30,3.7,2.4,6.3,6.8
"Tyrese Maxey","PHI","NY",23.5,23.2,3.7,4.2,5.3,5.4
"Paul George","PHI","NY",21.8,17.4,6,4.2,3.6,2.8
"Julius Randle","MIN","SA",21.4,18,6.5,6.8,3.6,3
"Anthony Edwards","MIN","SA",21,16.8,5.6,5.6,3.7,2.4
"Naz Reid","MIN","SA",20.9,13.6,9.4,8,4,2.2
"OG Anunoby","NY","PHI",20.2,22,7.5,7,4.1,1.4
"Terrence Shannon Jr.","MIN","SA",20,14.4,4.5,3.8,4,1
"Victor Wembanyama","SA","MIN",19.5,22.6,9.9,14.2,3.6,2.8
"De'Aaron Fox","SA","MIN",19,18.4,3.6,3,6.5,5.8
"Stephon Castle","SA","MIN",17.7,16.4,4,3.4,7.3,6.8
"Jaden McDaniels","MIN","SA",15.8,18,5.4,5.6,2.9,2.4
"VJ Edgecombe","PHI","NY",15.1,15.4,5.9,5.4,3.6,3.2
"Karl-Anthony Towns","NY","PHI",15,14.6,12.2,10.6,5.9,7.2
"Devin Vassell","SA","MIN",14.9,11.6,5,4.6,3.4,3
"Kelly Oubre Jr.","PHI","NY",14.1,14.6,5.3,6.4,2.1,1.4
"Rudy Gobert","MIN","SA",13.6,7.6,10.2,9.4,3.5,3.2
"Mikal Bridges","NY","PHI",13.5,17.8,3.8,3.2,2.4,2.4
"Miles McBride","NY","PHI",11.8,3.6,2.6,1,2.6,1.2
"Josh Hart","NY","PHI",11.3,9.6,7.5,7.2,4.3,4.2
"Quentin Grimes","PHI","NY",11,4.6,3.9,3,4.1,3
"Dylan Harper","SA","MIN",10.3,11.4,4.2,4,2,2.4
"Mike Conley","MIN","SA",9.9,5.2,3.5,2.4,3.7,3.2
"Julian Champagnie","SA","MIN",9.4,12.4,5.1,6.4,2,1.6
"Keldon Johnson","SA","MIN",9.2,9.4,4.6,4,1.1,1
"Donte DiVincenzo","MIN","SA",9,9.2,3.2,3.2,3.9,3.8
