"athlete_display_name","team_abbreviation","opponent","Proj_PTS","L5_PTS","Proj_REB","L5_REB","Proj_AST","L5_AST"
"Luka Doncic","LAL","CLE",33.1,34.8,6.6,8.2,8.3,9.6
"Donovan Mitchell","CLE","LAL",30.9,31.4,4.4,4.2,7,6
"Jaylen Brown","BOS","ATL",30.6,28.4,8.3,9.4,6.5,5.6
"Jalen Johnson","ATL","BOS",27.6,22,9.3,12.8,6,6.8
"Bam Adebayo","MIA","ORL",26.7,21.8,11.6,10.2,2.8,2.6
"Stephen Curry","GS","UTAH",26.3,22.6,3.9,3,5.9,5.4
"Kevin Durant","HOU","SA",25,27.4,5.2,6.4,5.4,4.6
"Ja Morant","MEM","CHA",24.8,24.8,3.4,2.4,7.5,9.2
"Immanuel Quickley","TOR","NY",24.6,22,5.6,6,7,6.8
"Anthony Edwards","MIN","DAL",24.6,33.6,7.3,6.2,3.5,2.8
"Coby White","CHI","IND",23.9,23.6,3.6,3.2,6,5.2
"Austin Reaves","LAL","CLE",23.5,18.2,3.9,3.6,5.1,4.4
"Jalen Brunson","NY","TOR",23.4,21,4.1,2.4,5.2,4.2
"Nickeil Alexander-Walker","ATL","BOS",23.2,19,3.9,2.6,4.8,4.4
"LeBron James","LAL","CLE",22.8,21.4,5.3,6.2,5.4,5.8
"Alperen Sengun","HOU","SA",22.6,21.2,8.6,7.8,6.1,6.2
"Ace Bailey","UTAH","GS",22.5,17,3.9,3.6,2.5,1.8
"Norman Powell","MIA","ORL",22.4,18,4.2,4,3.4,2.6
"Brandon Ingram","TOR","NY",21.8,19.4,5.7,5,4.2,4.6
"Victor Wembanyama","SA","HOU",21.8,25.6,9.6,11.8,2.5,1.8
"Jaren Jackson Jr.","MEM","CHA",21.4,21.4,6.7,6.6,2.1,1.4
"Karl-Anthony Towns","NY","TOR",21.2,17.2,10.9,10.8,3.2,2.8
"Evan Mobley","CLE","LAL",20.5,18.4,8.3,10,3.6,3.4
"Brice Sensabaugh","UTAH","GS",20.2,18,4.8,3.8,2.4,1.4
"Cooper Flagg","DAL","MIN",20.2,17.6,6.3,6.2,3.2,3.4
"CJ McCollum","ATL","BOS",19.6,17.4,3.9,4.4,4.3,4
"Julius Randle","MIN","DAL",19.5,19,6.1,6.2,4.2,3.6
"Paolo Banchero","ORL","MIA",19.4,25.8,7.1,8.6,4.1,4.8
"Jock Landale","MEM","CHA",19.2,16,9.6,8.8,2.3,2
"Rui Hachimura","LAL","CLE",19.2,14.2,5.1,3.8,2.5,1
"Franz Wagner","ORL","MIA",19.1,19.2,5.4,5,3.3,3
"Josh Giddey","CHI","IND",19.1,13.6,6.4,6.2,5.9,6.8
"RJ Barrett","TOR","NY",18.9,17.6,6.3,5.8,3.6,3.4
"Scottie Barnes","TOR","NY",18.9,19.2,6.7,8.8,4.7,6.6
"Andrew Nembhard","IND","CHI",18.8,17.2,3.5,4.2,7.4,9.6
"Brandon Miller","CHA","MEM",18.8,23.6,5.8,5.8,3.1,3.2
"Darius Garland","CLE","LAL",18.7,22,2.4,1.6,6,7
"De'Aaron Fox","SA","HOU",18.7,19.2,4.3,3.6,6.6,7.4
"Naji Marshall","DAL","MIN",18.3,21.6,6.6,7.4,4.8,5
"LaMelo Ball","CHA","MEM",17.9,11.8,3.9,3.2,6.5,7.8
"Jaime Jaquez Jr.","MIA","ORL",17.7,11.2,5.2,6.2,4.3,5.2
"Ayo Dosunmu","CHI","IND",17.7,15,3.3,2.6,3.4,2.8
"Anthony Davis","DAL","MIN",17.5,16.4,9.2,10,2.4,2.2
"Onyeka Okongwu","ATL","BOS",17.5,16,8.6,8.2,3.6,3
"Andrew Wiggins","MIA","ORL",17.4,15.6,6.8,6,3.7,3
"Cedric Coward","MEM","CHA",17.2,13.6,5.4,4.8,3.1,2.2
"Payton Pritchard","BOS","ATL",17.2,18.4,4.5,3.8,5,5
"Mikal Bridges","NY","TOR",17.2,12,3.8,3.2,3.5,3.4
"Tre Jones","CHI","IND",17.2,11,4,3.2,5.5,8
"Jabari Smith Jr.","HOU","SA",17,16.2,7.2,6.8,2.5,2.2
"Nikola Vucevic","CHI","IND",17,16,8.3,9,3.7,4.8
"Kon Knueppel","CHA","MEM",16.9,15.2,6.2,7.4,3.7,3.6
"Isaiah Collier","UTAH","GS",16.4,12.6,4.7,3.6,5.8,6.8
"Wendell Carter Jr.","ORL","MIA",16.4,10.2,8.7,5.6,3.8,2.8
"Bennedict Mathurin","IND","CHI",16.2,16,4.2,4.2,2.4,2
"Stephon Castle","SA","HOU",16.1,12,4.7,5,5.8,7.6
"Dyson Daniels","ATL","BOS",16,12,6.1,6.8,5.3,6.4
"Brandon Williams","DAL","MIN",15.8,17,3.6,3.2,4,3.4
"Max Christie","DAL","MIN",15.8,20.6,3.7,3.8,3.1,2.6
"Pelle Larsson","MIA","ORL",15.8,12.2,4.5,4.6,3.7,4.6
"Anthony Black","ORL","MIA",15.8,14.8,4.2,3.8,4.1,5
"Reed Sheppard","HOU","SA",15.6,13.6,2.4,2,2.3,2
"Desmond Bane","ORL","MIA",15.6,16.8,4.1,4.2,2.9,3
"Collin Murray-Boyles","TOR","NY",15.5,12.2,8.8,8.6,3.5,4
"Amen Thompson","HOU","SA",15.2,15.2,7.5,8.2,6.7,8.4
"Jaylon Tyson","CLE","LAL",15,15.6,7.4,7.6,4,4
"Tari Eason","HOU","SA",15,11.4,6.9,7.6,2.7,1.6
"Sam Merrill","CLE","LAL",14.9,15.6,3.6,2.6,3.3,1.8
"OG Anunoby","NY","TOR",14.8,14.6,6,5.6,2.7,2.8
"Miles McBride","NY","TOR",14.6,12,2.7,2.8,4,3.4
"Collin Sexton","CHA","MEM",14.5,12.6,3.1,1.4,4.7,2.8
"Simone Fontecchio","MIA","ORL",14.4,12,6.5,6,2.2,2
"Jarrett Allen","CLE","LAL",14.3,12.2,9.3,7.4,1.5,0.6
"Deandre Ayton","LAL","CLE",14.3,9.6,10.8,7.8,1.4,0.2
"Jalen Suggs","ORL","MIA",14.2,12.2,2.7,2.8,4.2,5.2
"Jaden McDaniels","MIN","DAL",13.9,14.8,4.4,4.4,3.5,4
"Donte DiVincenzo","MIN","DAL",13.8,14.8,4.4,4.8,4.6,4.6
"GG Jackson","MEM","CHA",13.6,12,4.6,2.8,1.4,1
"Devin Vassell","SA","HOU",13.6,10.6,3.5,3.4,2.2,1.4
"Jarace Walker","IND","CHI",13.5,15.6,4.3,4.8,2,2.4
"Marcus Smart","LAL","CLE",13.5,11.6,3.9,3.2,2.3,2.4
"Matas Buzelis","CHI","IND",13.4,15,4.3,5.2,3.2,4.2
"Naz Reid","MIN","DAL",13.4,9.6,5.7,6.4,2.4,2.6
"Miles Bridges","CHA","MEM",13.3,11.6,5.3,3.8,3.2,2.2
"Sandro Mamukelashvili","TOR","NY",13,17.6,6.8,7.6,2.8,3.4
"Julian Champagnie","SA","HOU",13,15.4,4.7,4.8,2.1,1.6
"De'Anthony Melton","GS","UTAH",12.5,13.8,3,3.4,2.9,3.2
"Walker Kessler","UTAH","GS",12.3,14.4,9.3,10.8,2.4,3
"Buddy Hield","GS","UTAH",12.3,11.2,3.5,2,2.9,1.6
"Caleb Martin","DAL","MIN",12.2,7.4,4.2,3.4,2.5,3.2
"Sam Hauser","BOS","ATL",12,14.2,4.4,5.2,2.4,2.6
"Al Horford","GS","UTAH",12,7.8,7,5.6,2.3,2.6
"Dwight Powell","DAL","MIN",11.9,5.6,7.9,7.8,1.8,1.6
"Jaylen Wells","MEM","CHA",11.7,10.6,3.7,3.4,1.4,0.6
"Vince Williams Jr.","MEM","CHA",11.7,6.2,3.5,3.2,3.6,3.2
"Anfernee Simons","BOS","ATL",11.6,12.2,3.1,3,2.6,2
"Keldon Johnson","SA","HOU",11.6,14,3.7,2.6,2,2
"Brandin Podziemski","GS","UTAH",11.5,13.6,4.4,5,5.2,5.2
"Jalen Smith","CHI","IND",11.5,13.2,6.3,7.8,0.9,0.8
"PJ Hall","CHA","MEM",11.5,7.4,6.2,6,1,0.6
"Klay Thompson","DAL","MIN",11.4,15,3.2,2.6,2.5,2.4
"Nikola Jovic","MIA","ORL",11.4,10,4.6,3.8,1.9,1.8
"Cody Williams","UTAH","GS",11.3,8.2,3.6,3.2,1.6,1
"Isaac Okoro","CHI","IND",11.3,8,3.2,2.8,1.8,1.8
"Dean Wade","CLE","LAL",10.9,5.2,5.3,5.2,1.9,1.6
"Moses Moody","GS","UTAH",10.8,12.8,4.6,4.8,2.1,1.6
"Moussa Cisse","DAL","MIN",10.7,7.4,8.6,7.8,1.1,0.6
"Cam Spencer","MEM","CHA",10.5,10.8,4,3.8,7.8,8.4
"Kentavious Caldwell-Pope","MEM","CHA",10.4,6.2,2.6,2.8,2.7,2
"Corey Kispert","ATL","BOS",10.3,8.2,3.6,2.4,2,1.6
"Josh Hart","NY","TOR",10.3,8.2,8,8.4,4.7,5.4
"Kevin Huerter","CHI","IND",10.1,8,2.7,3.2,3,3.8
"Luke Kennard","ATL","BOS",10.1,8.8,3.8,3.8,2.4,2.2
"Tristan da Silva","ORL","MIA",9.8,4,3.9,2.4,1.5,0.8
"Luka Garza","BOS","ATL",9.6,7.6,4.5,3.4,1.7,1.2
"T.J. McConnell","IND","CHI",9.6,8.8,2.6,1.6,4.4,4.2
"Will Richard","GS","UTAH",9.6,3.8,2.3,1.4,3.3,2.8
"Micah Potter","IND","CHI",9.5,5,6.5,5.2,1.2,1.6
"Nae'Qwan Tomlin","CLE","LAL",9.5,6.6,5.3,4.4,1.7,1.6
"Ochai Agbaji","TOR","NY",9.5,4.6,2.8,2.4,1.4,0.8
"Ja'Kobe Walter","TOR","NY",9.4,7.2,3,2.4,1.5,1.2
"Patrick Williams","CHI","IND",9.4,8.4,3.5,2.4,1.5,1
"Kyle Filipowski","UTAH","GS",9.2,9.2,5.3,6.6,1.6,2.2
"Jaxson Hayes","LAL","CLE",9.1,6.4,4.9,3.4,1.1,0.4
"Dorian Finney-Smith","HOU","SA",9,3.8,3.7,2.2,1.4,0.8
"Ryan Nembhard","DAL","MIN",8.8,5.2,2.2,2,3.6,4.8
"Grant Williams","CHA","MEM",8.5,4.2,3.3,2.8,1.6,1.4
"KJ Simpson","CHA","MEM",8.5,8.8,2.9,2.6,2.6,2.8
"Craig Porter Jr.","CLE","LAL",8.4,5.8,3.2,3.2,2.6,2.8
"Dylan Harper","SA","HOU",8.4,8.2,3,3.6,2.6,3.6
"Walter Clayton Jr.","UTAH","GS",8.3,5.4,2.5,1.8,2.8,2.4
"Josh Green","CHA","MEM",8.3,6.8,3.6,3.2,1.6,1.2
"Jake LaRavia","LAL","CLE",8.2,7.4,4.6,4.4,1.8,1.8
"Landry Shamet","NY","TOR",8.1,8.6,2.3,1.6,1.9,1.6
"Moussa Diabate","CHA","MEM",8.1,8.2,6.1,7.4,1.1,0.6
"John Konchar","MEM","CHA",8,2.2,4.9,4.4,1.8,1.6
"Neemias Queta","BOS","ATL",8,8.6,6,5.8,2.1,2
"Luke Kornet","SA","HOU",8,7.6,6.6,6.2,1.8,1.8
"Ryan Kalkbrenner","CHA","MEM",8,11,6.7,6.2,1.1,1
"Quinten Post","GS","UTAH",7.9,9.4,4.3,5,0.9,0.6
"Baylor Scheierman","BOS","ATL",7.8,3.6,4.5,3.6,1.5,1.2
"Jarred Vanderbilt","LAL","CLE",7.7,3.8,5,5,1.7,1.8
"Kasparas Jakucionis","MIA","ORL",7.5,5.2,3,3,1.8,1.6
"Gabe Vincent","LAL","CLE",7.4,2.6,1.9,0.8,1.6,1.2
"Jamal Shead","TOR","NY",7.2,7.4,2.2,2.8,4.1,5.4
"Noah Penda","ORL","MIA",7.1,6.4,3.5,3,1.9,1.4
"Harrison Barnes","SA","HOU",7,6.2,3.5,2.6,2.1,1.8
"Draymond Green","GS","UTAH",6.9,7.6,4.4,4.6,3.7,4.8
"Gradey Dick","TOR","NY",6.8,8.2,1.9,2.2,1.2,0.4
"Mike Conley","MIN","DAL",6.1,1.4,2.3,2.2,2.3,2
"Mitchell Robinson","NY","TOR",6.1,6.6,9.8,10.8,1.1,0.4
"Ben Sheppard","IND","CHI",5.8,5.4,1.7,0.4,1.3,1
"Josh Okogie","HOU","SA",5.8,5.2,3.6,2.8,1.5,1
"Johnny Furphy","IND","CHI",5.7,5.6,4.7,6.2,1.4,1.4
"Sion James","CHA","MEM",5.6,2.6,2.7,3,2.1,2.4
"Dereck Lively II","DAL","MIN",4.9,3.6,6.2,5.8,1.4,1.6
